Setting goals is an important step in being proactive.,12.4 Be Proactive (updated 22Jan2024).pdf,0
"Consider different areas of your life and which of these are important to you. Personal and spiritual growth, health and physical well-being, work and career, relationships.",12.4 Be Proactive (updated 22Jan2024).pdf,1
"Here are the meaningful sentences related to improving sleep quality:

1. Maintain a regular bedtime and wake time routine.
2. Exercise regularly, including light exercise in the evening.
3. Avoid large meals before bed.
4. Avoid nicotine, alcohol, and caffeine 4-6 hours before bedtime.
5. Switch off or avoid using electronic devices (e.g., mobile phone, computer, or television) at least 30 minutes before bedtime.
6. Keep your bedroom dark, cool, quiet, and comfortable.",12.4 Be Proactive (updated 22Jan2024).pdf,2
Consider different areas of your life and which of these are important to you. What are some lifestyle changes you are thinking of making or have made? How might these changes contribute to important areas of your life? Identify the areas of life that are important to you.,12.4 Be Proactive (updated 22Jan2024).pdf,3
"Setting my goal: Example of a healthy eating goal.

Step 1: Where do you want to be?

Where I am now: ""I love having fried chicken every day!""

Where I want to be: Manage my weight better, eat more veggies, and less fried food.

This goal is important to me because I want to be healthier and look better.",12.4 Be Proactive (updated 22Jan2024).pdf,4
"Setting my goal: Stick to My Healthy Plate at lunchtime on Mondays and Thursdays at work for the next 3 months starting from 14 January. Step 2: Set your goal. Step 3: Identify and work around potential barriers. Potential barriers: 1. Colleagues suggesting fast food for lunch. 2. Craving curry puffs when stressed. 3. Temptation of delicious fried food from a nearby stall. Solutions: Suggest trying eateries with healthier options, unwind in enjoyable ways like walking or listening to music, take an alternative path home, engage with colleagues who like vegetables, and walk and chat with neighbors in the evening.",12.4 Be Proactive (updated 22Jan2024).pdf,5
"Complete the ""Setting my goal"" handout to set a new goal. Use the two rulers to check that the goal is doable. If scores are less than 7, adjust the goal. Is reaching this goal important to you? Do you think you can reach this goal?",12.4 Be Proactive (updated 22Jan2024).pdf,6
"Setting my goal:
Step 1:
Write down the original goal. I will brisk walk for 30 minutes on Mondays, Wednesdays, and Fridays after dinner at 8 pm along the park connector for the next 4 weeks starting from 18 June. What got in the way? How can I work around it? I couldn’t get off work on time, poor weather, low energy level.

Step 2:
Solve the problem.

Step 3:
Revise your goal. I will do lunchtime exercises and brisk walk. Lunchtime exercise on Mondays, brisk walk on Wednesdays and Saturdays at the office gym and park connector for another 4 weeks starting from 18 July.",12.4 Be Proactive (updated 22Jan2024).pdf,7
"""Complete the 'Keeping up with my goal' handout if there were barriers to accomplishing the goal. Use the two rulers to check that the goal is doable. If scores are less than 7, adjust the goal. Is reaching this goal important to you? Do you think you can reach this goal?""",12.4 Be Proactive (updated 22Jan2024).pdf,8
"It seems like the content you provided is not a complete sentence. Based on the topic of diabetes, I can help you construct a meaningful sentence related to treatment targets and monitoring. Here is a suggestion: ""It is important to set treatment targets and regularly monitor blood sugar levels to effectively manage diabetes.""",12.4 Be Proactive (updated 22Jan2024).pdf,9
